縣市,行政區,BUILD,平均單價元平方公尺,交易筆數
南投縣,南投市,中古屋,26163.87,104
南投縣,南投市,新成屋,58074.62,8
南投縣,名間鄉,中古屋,25801.0,8
南投縣,國姓鄉,中古屋,16423.2,5
南投縣,埔里鎮,中古屋,30931.02,93
南投縣,埔里鎮,新成屋,39683.38,8
南投縣,水里鄉,中古屋,23448.0,7
南投縣,水里鄉,新成屋,37894.0,1
南投縣,竹山鎮,中古屋,20316.17,24
南投縣,竹山鎮,新成屋,31440.5,2
南投縣,草屯鎮,中古屋,24007.0,28
南投縣,草屯鎮,新成屋,45632.0,1
南投縣,集集鎮,中古屋,20695.75,4
南投縣,集集鎮,新成屋,28201.0,3
南投縣,魚池鄉,中古屋,30056.5,2
南投縣,鹿谷鄉,中古屋,23282.0,6
台中市,中區,中古屋,19565.5,22
台中市,北區,中古屋,35464.99,926
台中市,北區,新成屋,34195.42,121
台中市,北屯區,中古屋,33691.46,1077
台中市,北屯區,新成屋,42479.07,804
台中市,南區,中古屋,31162.79,767
台中市,南區,新成屋,50301.27,134
台中市,南屯區,中古屋,42623.17,662
台中市,南屯區,新成屋,66784.98,151
台中市,后里區,中古屋,30707.06,17
台中市,后里區,新成屋,38449.4,5
台中市,外埔區,中古屋,29218.89,9
台中市,大安區,中古屋,19357.67,3
台中市,大甲區,中古屋,31269.54,24
台中市,大甲區,新成屋,32401.05,19
台中市,大肚區,中古屋,19539.5,44
台中市,大肚區,新成屋,38887.14,7
台中市,大里區,中古屋,31765.79,444
台中市,大里區,新成屋,42299.41,29
台中市,大雅區,中古屋,26990.41,120
台中市,大雅區,新成屋,40116.0,1
台中市,太平區,中古屋,27307.33,418
台中市,太平區,新成屋,52956.25,57
台中市,新社區,中古屋,21549.33,3
台中市,東勢區,中古屋,21378.82,22
台中市,東勢區,新成屋,29572.5,2
台中市,東區,中古屋,33179.92,133
台中市,東區,新成屋,56008.4,5
台中市,梧棲區,中古屋,22862.14,29
台中市,梧棲區,新成屋,43401.0,1
台中市,沙鹿區,中古屋,29401.39,99
台中市,沙鹿區,新成屋,38426.36,107
台中市,清水區,中古屋,20728.72,96
台中市,清水區,新成屋,27384.63,19
台中市,潭子區,中古屋,31130.93,261
台中市,潭子區,新成屋,50592.45,42
台中市,烏日區,中古屋,34089.49,79
台中市,烏日區,新成屋,40801.24,29
台中市,石岡區,中古屋,21345.5,2
台中市,神岡區,中古屋,28374.05,56
台中市,神岡區,新成屋,50889.0,1
台中市,西區,中古屋,44475.75,734
台中市,西區,新成屋,72982.72,53
台中市,西屯區,中古屋,41912.95,1350
台中市,西屯區,新成屋,59760.73,319
台中市,豐原區,中古屋,33450.78,236
台中市,豐原區,新成屋,48593.36,47
台中市,霧峰區,中古屋,29404.34,44
台中市,霧峰區,新成屋,45620.33,6
台中市,龍井區,中古屋,120099.01,73
台中市,龍井區,新成屋,37115.61,36
台北市,中山區,中古屋,141674.48,576
台北市,中山區,新成屋,104739.04,253
台北市,中正區,中古屋,167851.38,199
台北市,中正區,新成屋,174932.78,91
台北市,信義區,中古屋,121270.69,348
台北市,信義區,新成屋,180831.07,45
台北市,內湖區,中古屋,129491.88,688
台北市,內湖區,新成屋,149060.36,297
台北市,北投區,中古屋,111227.38,483
台北市,北投區,新成屋,130715.3,128
台北市,南港區,中古屋,117717.04,157
台北市,南港區,新成屋,166897.17,390
台北市,士林區,中古屋,126251.91,411
台北市,士林區,新成屋,122722.07,103
台北市,大同區,中古屋,120554.89,56
台北市,大同區,新成屋,82887.2,46
台北市,大安區,中古屋,159396.29,514
台北市,大安區,新成屋,248350.2,148
台北市,文山區,中古屋,113425.4,534
台北市,文山區,新成屋,128602.42,278
台北市,松山區,中古屋,140847.91,311
台北市,松山區,新成屋,186720.4,42
台北市,萬華區,中古屋,105989.69,118
台北市,萬華區,新成屋,126587.32,22
台南市,下營區,中古屋,23661.12,16
台南市,下營區,新成屋,26948.5,2
台南市,中西區,中古屋,29240.22,202
台南市,中西區,新成屋,54247.05,21
台南市,仁德區,中古屋,22065.84,109
台南市,仁德區,新成屋,40623.62,29
台南市,佳里區,中古屋,20442.44,39
台南市,佳里區,新成屋,30589.33,6
台南市,六甲區,中古屋,18056.5,4
台南市,六甲區,新成屋,30519.33,3
台南市,北區,中古屋,27332.0,344
台南市,北區,新成屋,44787.77,101
台南市,北門區,中古屋,47.0,3
台南市,南區,中古屋,18368.38,385
台南市,南區,新成屋,41511.8,5
台南市,善化區,中古屋,21384.03,31
台南市,善化區,新成屋,34885.17,41
台南市,大內區,中古屋,14592.0,2
台南市,學甲區,中古屋,14943.3,10
台南市,安南區,中古屋,24016.21,189
台南市,安南區,新成屋,38656.83,104
台南市,安定區,中古屋,25464.71,7
台南市,安平區,中古屋,22041.73,522
台南市,安平區,新成屋,45068.74,27
台南市,官田區,新成屋,27075.62,21
台南市,將軍區,中古屋,11355.0,3
台南市,山上區,中古屋,12388.0,2
台南市,後壁區,中古屋,11084.0,1
台南市,新化區,中古屋,24214.5,34
台南市,新化區,新成屋,29047.5,2
台南市,新市區,中古屋,20529.44,25
台南市,新市區,新成屋,23382.67,3
台南市,新營區,中古屋,20976.87,102
台南市,新營區,新成屋,35871.43,7
台南市,東區,中古屋,29691.28,838
台南市,東區,新成屋,48596.79,71
台南市,楠西區,中古屋,10451.0,1
台南市,歸仁區,中古屋,22030.97,65
台南市,歸仁區,新成屋,33340.67,6
台南市,永康區,中古屋,26262.11,1047
台南市,永康區,新成屋,42073.02,62
台南市,玉井區,中古屋,30403.5,4
台南市,白河區,中古屋,23799.4,10
台南市,白河區,新成屋,32463.0,1
台南市,西港區,中古屋,13398.9,10
台南市,西港區,新成屋,32395.0,3
台南市,關廟區,中古屋,20165.4,10
台南市,鹽水區,中古屋,14426.79,19
台南市,麻豆區,中古屋,19096.23,22
台南市,麻豆區,新成屋,31605.33,6
台東縣,卑南鄉,中古屋,14395.86,7
台東縣,卑南鄉,新成屋,17727.0,1
台東縣,台東市,中古屋,23545.14,189
台東縣,台東市,新成屋,30291.26,19
台東縣,大武鄉,中古屋,10882.0,1
台東縣,太麻里鄉,中古屋,11854.35,20
台東縣,成功鎮,中古屋,15396.25,4
台東縣,東河鄉,中古屋,15140.5,2
台東縣,池上鄉,中古屋,20718.0,2
台東縣,池上鄉,新成屋,36035.67,3
台東縣,關山鎮,中古屋,19323.0,1
嘉義市,嘉義市,中古屋,23646.92,720
嘉義市,嘉義市,新成屋,46100.07,105
嘉義縣,中埔鄉,中古屋,25835.92,26
嘉義縣,六腳鄉,中古屋,36778.0,2
嘉義縣,大林鎮,中古屋,21375.88,16
嘉義縣,大林鎮,新成屋,46797.25,4
嘉義縣,太保市,中古屋,20977.52,40
嘉義縣,太保市,新成屋,32200.8,10
嘉義縣,布袋鎮,中古屋,14391.5,2
嘉義縣,朴子市,中古屋,32637.83,46
嘉義縣,朴子市,新成屋,29223.62,16
嘉義縣,梅山鄉,中古屋,22536.25,4
嘉義縣,民雄鄉,中古屋,18342.81,48
嘉義縣,民雄鄉,新成屋,32049.67,6
嘉義縣,水上鄉,中古屋,25422.38,13
嘉義縣,水上鄉,新成屋,27583.0,2
嘉義縣,溪口鄉,中古屋,21389.0,1
嘉義縣,番路鄉,中古屋,15108.09,11
嘉義縣,竹崎鄉,中古屋,20587.5,2
嘉義縣,義竹鄉,中古屋,19998.0,1
嘉義縣,鹿草鄉,中古屋,22712.0,1
基隆市,七堵區,中古屋,34785.98,52
基隆市,七堵區,新成屋,80868.5,4
基隆市,中山區,中古屋,23322.74,19
基隆市,中正區,中古屋,22776.49,649
基隆市,中正區,新成屋,39968.44,52
基隆市,仁愛區,中古屋,36907.36,59
基隆市,信義區,中古屋,26431.6,261
基隆市,信義區,新成屋,37637.57,14
基隆市,安樂區,中古屋,28219.36,319
基隆市,安樂區,新成屋,47961.56,43
基隆市,暖暖區,中古屋,26775.82,108
基隆市,暖暖區,新成屋,38934.74,57
宜蘭縣,三星鄉,中古屋,59645.0,1
宜蘭縣,五結鄉,中古屋,25383.92,36
宜蘭縣,五結鄉,新成屋,26653.67,12
宜蘭縣,冬山鄉,中古屋,27418.55,29
宜蘭縣,冬山鄉,新成屋,36529.0,3
宜蘭縣,員山鄉,中古屋,27036.91,11
宜蘭縣,壯圍鄉,中古屋,23790.0,1
宜蘭縣,壯圍鄉,新成屋,33076.0,1
宜蘭縣,宜蘭市,中古屋,27568.36,347
宜蘭縣,宜蘭市,新成屋,35309.85,142
宜蘭縣,礁溪鄉,中古屋,41065.03,155
宜蘭縣,礁溪鄉,新成屋,73212.29,21
宜蘭縣,羅東鎮,中古屋,30821.65,268
宜蘭縣,羅東鎮,新成屋,37366.57,14
宜蘭縣,蘇澳鎮,中古屋,22559.31,29
宜蘭縣,頭城鎮,中古屋,24432.16,25
宜蘭縣,頭城鎮,新成屋,41018.5,2
屏東縣,內埔鄉,中古屋,183.33,6
屏東縣,東港鎮,中古屋,84.0,2
屏東縣,潮州鎮,中古屋,135.33,3
屏東縣,潮州鎮,新成屋,245.0,1
彰化縣,二林鎮,中古屋,40.75,4
彰化縣,和美鎮,中古屋,73.0,1
彰化縣,員林市,中古屋,127.0,8
彰化縣,埔心鄉,中古屋,78.0,1
