縣市,行政區,BUILD,平均單價元平方公尺,交易筆數
南投縣,南投市,中古屋,45705.61,120
南投縣,南投市,新成屋,63719.05,58
南投縣,名間鄉,中古屋,32717.0,2
南投縣,名間鄉,新成屋,59364.5,2
南投縣,國姓鄉,中古屋,43713.5,4
南投縣,國姓鄉,新成屋,62630.0,1
南投縣,埔里鎮,中古屋,46821.2,61
南投縣,埔里鎮,新成屋,58058.25,4
南投縣,水里鄉,中古屋,39072.33,3
南投縣,水里鄉,新成屋,54892.5,4
南投縣,竹山鎮,中古屋,27735.97,38
南投縣,竹山鎮,新成屋,53049.11,9
南投縣,草屯鎮,中古屋,31239.44,127
南投縣,草屯鎮,新成屋,81106.0,21
南投縣,集集鎮,中古屋,40372.83,6
南投縣,魚池鄉,中古屋,96463.0,1
南投縣,鹿谷鄉,新成屋,62126.25,8
台中市,中區,中古屋,220.06,16
台中市,北區,中古屋,60621.66,1156
台中市,北區,新成屋,37162.07,41
台中市,北屯區,中古屋,62771.76,1864
台中市,北屯區,新成屋,77061.38,344
台中市,南區,中古屋,61470.08,859
台中市,南區,新成屋,78098.47,43
台中市,南屯區,中古屋,77535.77,1123
台中市,南屯區,新成屋,108624.61,194
台中市,后里區,中古屋,65334.12,24
台中市,后里區,新成屋,88845.33,3
台中市,外埔區,中古屋,37231.33,6
台中市,大甲區,中古屋,53231.26,57
台中市,大甲區,新成屋,52220.85,13
台中市,大肚區,中古屋,35638.27,37
台中市,大肚區,新成屋,75938.0,1
台中市,大里區,中古屋,52122.42,340
台中市,大里區,新成屋,43077.48,61
台中市,大雅區,中古屋,60466.39,155
台中市,大雅區,新成屋,48332.62,21
台中市,太平區,中古屋,63238.5,480
台中市,太平區,新成屋,86341.8,87
台中市,新社區,中古屋,46490.33,3
台中市,東勢區,中古屋,39649.7,37
台中市,東勢區,新成屋,66721.6,5
台中市,東區,中古屋,68658.95,263
台中市,東區,新成屋,66326.18,38
台中市,梧棲區,中古屋,42846.28,47
台中市,梧棲區,新成屋,39436.21,48
台中市,沙鹿區,中古屋,48482.7,238
台中市,沙鹿區,新成屋,64575.44,129
台中市,清水區,中古屋,36208.47,66
台中市,清水區,新成屋,53986.37,35
台中市,潭子區,中古屋,64096.27,286
台中市,潭子區,新成屋,89070.7,23
台中市,烏日區,中古屋,56297.19,169
台中市,烏日區,新成屋,73796.8,94
台中市,石岡區,中古屋,55611.0,1
台中市,神岡區,中古屋,58023.22,36
台中市,神岡區,新成屋,75185.83,6
台中市,西區,中古屋,59193.55,740
台中市,西區,新成屋,118133.53,17
台中市,西屯區,中古屋,65229.07,1858
台中市,西屯區,新成屋,98791.61,140
台中市,豐原區,中古屋,51579.41,234
台中市,豐原區,新成屋,67216.71,28
台中市,霧峰區,中古屋,32910.44,25
台中市,霧峰區,新成屋,79444.67,3
台中市,龍井區,中古屋,44047.65,152
台中市,龍井區,新成屋,49380.73,15
台北市,中山區,中古屋,137921.6,756
台北市,中山區,新成屋,225837.02,46
台北市,中正區,中古屋,153463.89,317
台北市,中正區,新成屋,307038.53,109
台北市,信義區,中古屋,152979.2,607
台北市,信義區,新成屋,292815.43,54
台北市,內湖區,中古屋,145772.6,1144
台北市,內湖區,新成屋,172767.99,92
台北市,北投區,中古屋,120006.59,827
台北市,北投區,新成屋,156754.09,101
台北市,南港區,中古屋,147242.9,455
台北市,南港區,新成屋,190369.2,25
台北市,士林區,中古屋,119389.49,851
台北市,士林區,新成屋,185888.61,61
台北市,大同區,中古屋,115340.19,134
台北市,大同區,新成屋,197170.27,37
台北市,大安區,中古屋,196381.09,818
台北市,大安區,新成屋,404572.02,51
台北市,文山區,中古屋,130358.61,764
台北市,文山區,新成屋,190521.77,56
台北市,松山區,中古屋,169947.44,470
台北市,松山區,新成屋,497289.72,101
台北市,萬華區,中古屋,112326.33,314
台北市,萬華區,新成屋,149189.4,5
台南市,七股區,中古屋,20005.0,1
台南市,下營區,中古屋,38396.33,3
台南市,下營區,新成屋,40505.0,1
台南市,中西區,中古屋,36654.74,266
台南市,中西區,新成屋,88410.11,19
台南市,仁德區,中古屋,40488.88,222
台南市,仁德區,新成屋,63032.84,37
台南市,佳里區,中古屋,35476.43,65
台南市,佳里區,新成屋,53515.43,14
台南市,六甲區,中古屋,15235.5,4
台南市,六甲區,新成屋,47910.5,2
台南市,北區,中古屋,46359.91,525
台南市,北區,新成屋,41595.42,52
台南市,北門區,中古屋,14454.0,1
台南市,南區,中古屋,40381.8,422
台南市,南區,新成屋,64213.66,35
台南市,善化區,中古屋,66231.25,36
台南市,善化區,新成屋,73498.33,36
台南市,大內區,中古屋,26101.0,2
台南市,學甲區,中古屋,25308.96,25
台南市,學甲區,新成屋,48267.64,14
台南市,安南區,中古屋,52130.08,443
台南市,安南區,新成屋,54898.37,126
台南市,安平區,中古屋,45584.58,412
台南市,安平區,新成屋,66780.28,74
台南市,官田區,中古屋,18442.25,4
台南市,官田區,新成屋,28109.33,3
台南市,將軍區,中古屋,28824.0,2
台南市,後壁區,中古屋,24025.0,1
台南市,新化區,中古屋,39918.88,24
台南市,新化區,新成屋,76772.67,3
台南市,新市區,中古屋,48131.92,40
台南市,新市區,新成屋,72813.15,13
台南市,新營區,中古屋,35350.01,152
台南市,新營區,新成屋,68082.75,20
台南市,東區,中古屋,41532.84,1122
台南市,東區,新成屋,63332.34,61
台南市,東山區,中古屋,19606.0,1
台南市,柳營區,中古屋,24089.29,7
台南市,柳營區,新成屋,61943.71,7
台南市,楠西區,中古屋,18508.5,2
台南市,歸仁區,中古屋,38444.93,87
台南市,歸仁區,新成屋,74990.0,2
台南市,永康區,中古屋,34141.92,1273
台南市,永康區,新成屋,72677.31,148
台南市,玉井區,中古屋,14263.0,4
台南市,白河區,中古屋,30797.33,6
台南市,白河區,新成屋,48768.5,4
台南市,西港區,中古屋,36265.25,12
台南市,關廟區,中古屋,34255.57,7
台南市,關廟區,新成屋,47886.17,6
台南市,鹽水區,中古屋,23462.79,19
台南市,鹽水區,新成屋,49968.0,1
台南市,麻豆區,中古屋,48137.65,20
台南市,麻豆區,新成屋,57940.0,11
台東縣,卑南鄉,中古屋,11410.75,8
台東縣,台東市,中古屋,42595.76,158
台東縣,台東市,新成屋,58222.17,6
台東縣,成功鎮,中古屋,41829.6,5
台東縣,東河鄉,中古屋,41884.0,2
台東縣,池上鄉,中古屋,45053.0,1
台東縣,長濱鄉,中古屋,29984.0,1
台東縣,關山鎮,中古屋,43944.44,9
台東縣,關山鎮,新成屋,39203.0,1
台東縣,鹿野鄉,中古屋,25784.0,1
